Frequency,PLV
6,0.24336357729143454
7,0.25783892713557127
8,0.28264226040109847
9,0.3105002614892755
10,0.3331127033305474
11,0.3442344059407569
12,0.3426397734559122
13,0.3327767751041816
14,0.3219237469346562
15,0.3157090947640546
16,0.31547045968796095
17,0.3188535856940555
18,0.3218582530487087
19,0.3201614568911076
20,0.30971688960780147
21,0.28779700566471056
22,0.25453959835260687
23,0.21382913524500272
24,0.17252790213391087
25,0.13804087997856523
26,0.11522984670977371
27,0.1044273728025062
28,0.1018929420143987
29,0.10241667162283023
