Frequency,PLV
6,0.13511390068684676
7,0.14602189178388503
8,0.16287050555367188
9,0.17845957768430432
10,0.18670331112803173
11,0.1850444367348123
12,0.17576526460108893
13,0.1654861262826374
14,0.16174864529533015
15,0.16824868983826216
16,0.18277925492346844
17,0.19953195256003342
18,0.2129115494831757
19,0.21971399396779803
20,0.21973449120503516
21,0.21586816613254572
22,0.21281234867628912
23,0.21361295969985933
24,0.21674093822402918
25,0.21728595157757516
26,0.21140661439440986
27,0.1995911962169616
28,0.18638036659080062
29,0.1777153566915169
