x,y
-499.99500004999953,3.5354912
-499.98500014999854,3.1031024
-499.97500024999755,2.699849
-499.96500034999656,2.7169611
-499.9550004499955,3.840533
-499.9450005499945,3.0305302
-499.9350006499935,3.150593
-499.92500074999253,2.7418735
-499.91500084999154,3.328693
-499.90500094999055,3.5961618
-499.89500104998956,2.61882
-499.8850011499885,1.7113054
-499.8750012499875,2.8397195
-499.8650013499865,2.73065
-499.85500144998554,2.7499473
-499.84500154998454,3.0070553
-499.83500164998355,2.8626468
-499.8250017499825,2.3991342
-499.8150018499815,1.8663478
-499.8050019499805,3.166628
-499.79500204997953,3.2193625
-499.78500214997854,2.8539815
-499.77500224997755,1.8481585
-499.76500234997656,2.1873522
-499.7550024499755,3.3494077
-499.7450025499745,3.141884
-499.7350026499735,2.6070855
-499.72500274997253,3.131937
-499.71500284997154,3.0421398
-499.70500294997055,3.0802815
-499.69500304996956,2.8780744
-499.6850031499685,2.8454673
-499.6750032499675,2.6613812
-499.6650033499665,3.4078326
-499.65500344996553,3.9849796
-499.64500354996454,3.3149729
-499.63500364996355,3.0773392
-499.62500374996256,3.420825
-499.6150038499615,3.177703
-499.6050039499605,2.9968612
-499.5950040499595,2.397686
-499.58500414995854,2.9903414
-499.57500424995754,3.391466
-499.56500434995655,2.4755104
-499.55500444995556,2.5210252
-499.5450045499545,2.516821
-499.5350046499535,3.2204435
-499.52500474995253,2.8528938
-499.51500484995154,3.2732494
-499.50500494995055,3.17221
-499.49500504994955,2.7475975
-499.4850051499485,2.3817778
-499.4750052499475,2.3756967
-499.4650053499465,2.7267284
-499.45500544994553,2.8661532
-499.44500554994454,2.3964078
-499.43500564994355,2.6439123
-499.42500574994256,2.7306838
-499.4150058499415,2.9426913
-499.4050059499405,2.9192095
-499.3950060499395,2.065163
-499.38500614993853,2.1597302
-499.37500624993754,2.334679
-499.36500634993655,3.350031
-499.35500644993556,3.3234644
-499.3450065499345,2.330683
-499.3350066499335,2.431837
-499.3250067499325,3.7607176
-499.31500684993154,3.6684113
-499.30500694993054,3.101825
-499.29500704992955,3.0880256
-499.28500714992856,3.4025886
-499.2750072499275,3.2133403
-499.2650073499265,2.3603668
-499.25500744992553,2.9691613
-499.24500754992454,3.2858534
-499.23500764992355,3.3421636
-499.22500774992255,2.9023218
-499.2150078499215,3.2556748
-499.2050079499205,3.5375042
-499.1950080499195,3.4765031
-499.18500814991853,2.3143373
-499.17500824991754,2.3845983
-499.16500834991655,2.9760363
-499.15500844991556,3.265414
-499.1450085499145,2.635026
-499.1350086499135,2.6888034
-499.1250087499125,2.2797987
-499.11500884991153,3.0857596
-499.10500894991054,3.3967872
-499.09500904990955,2.4217834
-499.08500914990856,2.8122551
-499.0750092499075,2.7470329
-499.0650093499065,2.9389887
-499.0550094499055,1.9141046
-499.04500954990453,2.3558207
-499.03500964990354,3.2073066
-499.02500974990255,2.8603313
-499.01500984990156,2.8591042
-499.0050099499005,2.386323
-498.9950100498995,2.4830372
-498.9850101498985,2.8387842
-498.97501024989754,2.8679976
-498.96501034989654,2.7899907
-498.95501044989555,2.9928675
-498.94501054989456,2.9385827
-498.9350106498935,2.8365815
-498.9250107498925,2.7230551
-498.91501084989153,2.7384
-498.90501094989054,3.666638
-498.89501104988955,3.6438746
-498.88501114988856,3.785717
-498.8750112498875,3.0105066
-498.8650113498865,2.785028
-498.8550114498855,3.8140233
-498.84501154988453,3.3979776
-498.83501164988354,2.4913802
-498.82501174988255,2.8267558
-498.81501184988156,3.3115084
-498.8050119498805,3.6540315
-498.7950120498795,2.9679332
-498.7850121498785,2.9824722
-498.77501224987753,3.0590556
-498.76501234987654,3.0663092
-498.75501244987555,2.710259
-498.74501254987456,3.1096606
-498.7350126498735,3.3703885
-498.7250127498725,2.9042876
-498.7150128498715,1.8470371
-498.70501294987054,2.3582711
-498.69501304986954,2.8618147
-498.68501314986855,3.0440571
-498.67501324986756,2.4956288
-498.6650133498665,2.517258
-498.6550134498655,2.5355794
-498.64501354986453,2.9909112
-498.63501364986354,2.9284651
-498.62501374986255,2.7871103
-498.61501384986155,3.0043573
-498.6050139498605,2.4971948
-498.5950140498595,2.7559662
-498.5850141498585,3.0396402
-498.57501424985753,2.491464
-498.56501434985654,3.148944
-498.55501444985555,3.1074271
-498.54501454985456,2.7714477
-498.5350146498535,2.4025984
-498.5250147498525,3.6602376
-498.5150148498515,4.411227
-498.50501494985053,2.7150812
-498.49501504984954,2.2429652
-498.48501514984855,3.1811385
-498.47501524984756,3.3535464
-498.4650153498465,3.4798985
-498.4550154498455,3.3756819
-498.4450155498445,3.4441135
-498.43501564984354,3.2491736
-498.42501574984254,3.204255
-498.41501584984155,3.3291934
-498.40501594984056,3.5820248
-498.3950160498395,3.279639
-498.3850161498385,2.7538035
-498.37501624983753,2.028989
-498.36501634983654,3.2983885
-498.35501644983555,3.3067966
-498.34501654983455,2.7780204
-498.3350166498335,2.6772819
-498.3250167498325,2.5747957
-498.3150168498315,2.9481437
-498.30501694983053,3.655598
-498.29501704982954,2.8255692
-498.28501714982855,2.8308842
-498.27501724982756,2.0812173
-498.2650173498265,3.4123137
-498.2550174498255,2.8459175
-498.2450175498245,2.629315
-498.23501764982353,2.9830775
-498.22501774982254,3.2477677
-498.21501784982155,2.9918733
-498.20501794982056,2.7773764
-498.1950180498195,2.3508866
-498.1850181498185,3.0241053
-498.1750182498175,3.5284634
-498.16501834981653,2.301262
-498.15501844981554,2.389777
-498.14501854981455,2.2371213
-498.13501864981356,4.1838946
-498.1250187498125,3.9658027
-498.1150188498115,3.5583985
-498.1050189498105,4.023047
-498.09501904980954,2.9315243
-498.08501914980855,3.3375318
-498.07501924980755,3.6856465
-498.06501934980656,3.724923
-498.0550194498055,3.300828
-498.0450195498045,2.7533689
-498.03501964980353,3.5305655
-498.02501974980254,4.0531406
-498.01501984980155,4.0181117
-498.00501994980056,3.6160452
-497.9950200497995,2.492185
-497.9850201497985,3.167607
-497.9750202497975,3.242028
-497.96502034979653,4.0073714
-497.95502044979554,2.6005864
-497.94502054979455,2.219503
-497.93502064979356,1.8731765
-497.9250207497925,3.4864736
-497.9150208497915,3.9142728
-497.9050209497905,2.450725
-497.89502104978953,2.1588633
-497.88502114978854,3.6022573
-497.87502124978755,2.3527033
-497.86502134978656,2.1286998
-497.8550214497855,2.7321892
-497.8450215497845,2.856654
-497.8350216497835,3.702238
-497.82502174978254,3.455089
-497.81502184978154,3.3197045
-497.80502194978055,2.806877
-497.79502204977956,2.188457
-497.7850221497785,2.6725333
-497.7750222497775,2.924314
-497.76502234977653,3.439483
-497.75502244977554,2.6217732
-497.74502254977455,3.4754272
-497.73502264977355,2.9909713
-497.7250227497725,3.9415193
-497.7150228497715,3.5998285
-497.7050229497705,3.2795339
-497.69502304976953,2.309261
-497.68502314976854,3.1035473
-497.67502324976755,3.5155597
-497.66502334976656,3.1904566
-497.6550234497655,3.1919062
-497.6450235497645,2.659612
-497.6350236497635,2.8156729
-497.62502374976253,4.453091
-497.61502384976154,3.9202595
-497.60502394976055,2.3237746
-497.59502404975956,2.774871
-497.5850241497585,2.4232833
-497.5750242497575,2.8918114
-497.5650243497565,2.7182486
-497.55502444975554,2.8836422
-497.54502454975454,2.8214836
-497.53502464975355,3.2359014
-497.52502474975256,3.614707
-497.5150248497515,3.1884887
-497.5050249497505,2.6238542
-497.49502504974953,2.5469475
-497.48502514974854,2.7747564
-497.47502524974755,2.5890424
-497.46502534974655,3.2799582
-497.45502544974556,3.1363542
-497.4450255497445,3.5760944
-497.4350256497435,2.4484985
-497.42502574974253,4.0072618
-497.41502584974154,4.263103
-497.40502594974055,3.0805213
-497.39502604973956,2.8531718
-497.3850261497385,2.609549
-497.3750262497375,3.6246467
-497.3650263497365,3.5105877
-497.35502644973553,2.706842
-497.34502654973454,2.5028718
-497.33502664973355,4.015745
-497.32502674973256,2.5487792
-497.3150268497315,3.5870461
-497.3050269497305,3.4958103
-497.2950270497295,3.2683825
-497.28502714972853,2.5515592
-497.27502724972754,3.1341379
-497.26502734972655,3.1324584
-497.25502744972556,2.6312485
-497.2450275497245,3.4092467
-497.2350276497235,3.185496
-497.2250277497225,3.6612918
-497.21502784972154,3.6245103
-497.20502794972055,3.072491
-497.19502804971955,3.505672
-497.18502814971856,3.9866047
-497.1750282497175,3.2920387
-497.1650283497165,2.5040798
-497.15502844971553,2.3993073
-497.14502854971454,2.515229
-497.13502864971355,2.8746576
-497.12502874971256,2.9561646
-497.1150288497115,4.913625
-497.1050289497105,3.0024624
-497.0950290497095,2.3305826
-497.08502914970853,2.8018575
-497.07502924970754,3.3077219
-497.06502934970655,3.2708762
-497.05502944970556,3.6536667
-497.0450295497045,2.3880255
-497.0350296497035,2.2286942
-497.0250297497025,3.7068186
-497.01502984970153,3.436726
-497.00502994970054,3.0809176
-496.99503004969955,3.608548
-496.98503014969856,4.0750184
-496.9750302496975,3.496269
-496.9650303496965,3.1812828
-496.9550304496955,3.7153559
-496.94503054969454,3.1379251
-496.93503064969354,2.3739502
-496.92503074969255,3.2833793
-496.91503084969156,3.4735703
-496.9050309496905,3.5892653
-496.8950310496895,3.4022915
-496.88503114968853,3.4339259
-496.87503124968754,2.9532912
-496.86503134968655,3.2086954
-496.85503144968555,2.7732012
-496.84503154968456,3.5862472
-496.8350316496835,3.3903785
-496.8250317496825,2.9917443
-496.81503184968153,3.0871727
-496.80503194968054,2.611614
-496.79503204967955,2.4362717
-496.78503214967856,2.9672616
-496.7750322496775,4.2934484
-496.7650323496765,3.795339
-496.7550324496755,2.801969
-496.74503254967453,3.1934566
-496.73503264967354,3.0249293
-496.72503274967255,2.791873
-496.71503284967156,2.5993729
-496.7050329496705,2.3563707
-496.6950330496695,2.8844225
-496.6850331496685,3.4405043
-496.67503324966754,3.920763
-496.66503334966654,3.077415
-496.65503344966555,3.4237485
-496.64503354966456,4.062166
-496.6350336496635,3.876927
-496.6250337496625,2.8375468
-496.61503384966153,2.6384895
-496.60503394966054,3.7017863
-496.59503404965955,3.426932
-496.58503414965855,3.217691
-496.57503424965756,4.04933
-496.5650343496565,4.15234
-496.5550344496555,4.62236
-496.54503454965453,2.422327
-496.53503464965354,4.0191927
-496.52503474965255,3.7898252
-496.51503484965156,3.7376769
-496.5050349496505,3.7069025
-496.4950350496495,3.739263
-496.4850351496485,3.9151933
-496.47503524964753,3.1141663
-496.46503534964654,3.5972831
-496.45503544964555,2.8607297
-496.44503554964456,3.2558355
-496.4350356496435,2.799747
-496.4250357496425,3.4645276
-496.4150358496415,2.886388
-496.40503594964053,3.6203878
-496.39503604963954,3.362516
-496.38503614963855,3.8874898
-496.37503624963756,3.68412
-496.3650363496365,3.3201315
-496.3550364496355,2.9248464
-496.34503654963453,3.26526
-496.33503664963354,5.0035357
-496.32503674963255,2.1895766
-496.31503684963155,3.2956848
-496.30503694963056,4.2216616
-496.2950370496295,3.559036
-496.2850371496285,2.3473492
-496.27503724962753,2.2737553
-496.26503734962654,3.599848
-496.25503744962555,2.529905
-496.24503754962456,2.928321
-496.23503764962356,3.1555054
-496.2250377496225,4.070852
-496.2150378496215,3.8049638
-496.20503794962053,3.353973
-496.19503804961954,3.9078033
-496.18503814961855,3.2415497
-496.17503824961756,3.8178418
-496.1650383496165,3.1837223
-496.1550384496155,3.7579303
-496.1450385496145,4.2688594
-496.13503864961353,3.8171537
-496.12503874961254,3.8886445
-496.11503884961155,4.267625
-496.10503894961056,3.8309717
-496.0950390496095,2.2273011
-496.0850391496085,3.9200525
-496.0750392496075,4.9395356
-496.06503934960654,3.747501
-496.05503944960554,3.825929
-496.04503954960455,3.549239
-496.03503964960356,4.058193
-496.0250397496025,3.1564906
-496.0150398496015,3.8574634
-496.00503994960053,3.2474782
-495.99504004959954,3.525176
-495.98504014959855,2.7478452
-495.97504024959755,2.948779
-495.96504034959656,3.6588578
-495.9550404495955,3.366317
-495.9450405495945,3.2964556
-495.93504064959353,3.3665676
-495.92504074959254,4.207468
-495.91504084959155,3.540726
-495.90504094959056,3.9819214
-495.8950410495895,2.45505
-495.8850411495885,3.068713
-495.8750412495875,4.0500574
-495.86504134958653,3.9401414
-495.85504144958554,3.9547431
-495.84504154958455,4.686697
-495.83504164958356,4.0771036
-495.8250417495825,4.0035954
-495.8150418495815,4.058055
-495.8050419495805,4.393038
-495.79504204957954,5.7930393
-495.78504214957854,4.3498654
-495.77504224957755,5.156604
-495.76504234957656,6.090973
