x,y
1,-3.078760800517997
2,-3.0634688198874094
3,-3.070771835958427
4,-3.0434643088195776
5,-2.999427830703712
6,-2.953753110059848
7,-2.8899666822643812
8,-2.7874157383070908
9,-2.7136892790767657
10,-2.643088270675918
11,-2.637235694237373
12,-2.6313137945695986
13,-2.4541893418924574
14,-2.1153469843871884
15,-2.272133259439644
16,-2.37698878532417
17,-2.4057052782906934
18,-2.4117510062544385
19,-2.4250874889432104
20,-2.498385801650079
21,-2.520267650690804
22,-2.5487898329280325
23,-2.566768342913808
24,-2.5692202861453453
25,-2.551938836169768
26,-2.5244453495257773
27,-2.4940407190915432
28,-2.461414253080698
29,-2.432063964190009
30,-2.3704042301976553
31,-2.278850473803121
32,-2.174501971201136
33,-2.1603853556835544
34,-2.1637341033739554
35,-2.1437940095882366
36,-2.1309496264675154
37,-2.123868464098491
38,-2.1594454560866563
39,-2.1784609361337033
40,-2.1686059554578287
41,-2.139800890436727
42,-2.095153460845402
43,-2.0838161411268574
44,-2.110448737315366
45,-2.0946446218251147
46,-2.0779587988864714
47,-2.0596010215891214
48,-2.005240596251112
49,-1.9597626517982965
50,-1.8652500167901576
51,-1.840482682616827
52,-1.7945790195207587
53,-1.7344075761181013
54,-1.7014663074872114
55,-1.6835317720231198
56,-1.659111326390118
57,-1.6581719769440033
58,-1.6684143140428604
59,-1.610357349181686
60,-1.5419786368673383
61,-1.504940762533345
62,-1.4600507869911168
63,-1.4488235414920005
64,-1.445976010448018
65,-1.3932600447980994
66,-1.3352986303788907
67,-1.2932897184503653
68,-1.3172364815962199
69,-1.3516719786207636
70,-1.3848642867923984
71,-1.4354802666549824
72,-1.4494392125094757
73,-1.4253118116270362
74,-1.405017124606749
75,-1.427173535561062
76,-1.4956237885269523
77,-1.5689713864484904
78,-1.6147576749693031
79,-1.6211462710159297
80,-1.5798014957141069
81,-1.534836127078973
82,-1.498292778776232
83,-1.428920756788418
84,-1.4108003726434815
85,-1.402557663053107
86,-1.4153748707141611
87,-1.410263819430322
88,-1.3035299517618604
89,-1.2249255603873157
90,-1.165148733577185
91,-1.1530792804676349
92,-1.162994617864749
93,-1.1135208022350687
94,-1.0250665531616314
95,-0.9796325179628642
96,-0.9886808830483589
97,-1.0203658039545977
98,-1.0179130825745204
99,-1.0044469488219196
100,-1.0468389689624122
101,-1.0784625363835174
102,-1.0764551540793628
103,-1.0968383293640662
104,-1.135514864265333
105,-1.2105219530338351
106,-1.187633504861487
107,-1.0648580993973098
108,-0.9809443000971162
109,-1.0068931310457048
110,-1.0098038943006635
111,-1.039776686010509
112,-1.1025925897475424
113,-1.1614366847449118
114,-1.0975158030327343
115,-0.9981611321716959
116,-0.9504404373299236
117,-0.9149036368797422
118,-0.9142050202955381
119,-0.9804222640553011
120,-1.0923291871294625
121,-1.0753870187507932
122,-0.9955536475615856
123,-0.9530720958581971
124,-0.9161701157797238
125,-0.8485510936243656
126,-0.8433265331372125
127,-0.8023474929088487
128,-0.8119114595746214
129,-0.8590402246936739
130,-0.8541514399726312
131,-0.8583090935915606
132,-1.0741715598847983
133,-1.1537110895059388
134,-1.2055762857893053
135,-1.0676734738131357
136,-1.101332323037832
137,-1.3136568137040345
138,-1.1873584382831606
139,-0.8969562115367594
140,-0.8464796839540212
141,-0.7225670896786837
142,-0.6356894906322365
143,-0.6365484822573098
144,-0.7650757193620966
145,-0.9796869839961342
146,-1.0502257631988605
147,-1.5507471477960688
