Frequency,PLV
6,0.25154662157557534
7,0.2729081609611968
8,0.30799154427592296
9,0.3437702106030424
10,0.3681747174436742
11,0.3756925379468225
12,0.3657230590129377
13,0.3381052756499426
14,0.29447296301375964
15,0.24245267412089777
16,0.19352474639511807
17,0.1556237805920448
18,0.12963641099178275
19,0.1126324632099435
20,0.10210205356298205
21,0.09638167680586553
22,0.09268910438891233
23,0.0870717906588134
24,0.07746002573324309
25,0.06606398044803923
26,0.0575374211863829
27,0.054727741698460224
28,0.05645216387599012
29,0.0588963368839483
