Frequency,PLV
6,0.07359479439655116
7,0.06536235807987
8,0.05487143199741474
9,0.04861516740449584
10,0.048547375889491026
11,0.0520835254435678
12,0.05654217037935462
13,0.06243131952648489
14,0.070895713941948
15,0.07939815467376243
16,0.08328687237616653
17,0.08122770996241273
18,0.07591706645428543
19,0.06979975358760743
20,0.06313667382425323
21,0.05636355987200951
22,0.05158922865802431
23,0.05044722424482095
24,0.05209351843792321
25,0.05509733384304696
26,0.060090231177554236
27,0.06834448763106082
28,0.07828903556622999
29,0.085295602904475
