x,y
1,1.5333695
2,1.4294338
3,1.4210267
4,1.339386
5,1.3300918
6,0.89506143
7,0.83536357
8,0.25114688
9,0.56567717
10,0.3145933
11,0.34037143
12,-0.051842213
13,0.087825604
14,0.12686132
15,0.12977986
16,-0.04111505
17,-0.13364942
18,-0.18622397
19,-0.19085984
20,-0.11317204
21,-0.039295953
22,-0.05597836
23,0.046125613
24,-0.06233644
25,-0.055238377
26,0.091658324
27,0.19995007
28,0.19205828
29,0.30805516
30,0.23199606
31,0.33639455
32,0.37962475
33,0.48618686
34,0.5748329
35,0.71646565
36,0.83279943
37,0.98342115
38,1.222153
39,1.4762199
40,1.7911294
41,2.125173
42,2.4882138
43,2.745689
44,2.8960495
45,2.9918623
46,3.0580547
47,3.0735044
48,-3.11193
49,-3.062296
50,2.9761295
51,3.058822
52,2.8896785
53,2.820278
54,2.9257054
55,2.829285
56,2.7950265
57,2.9464133
58,2.9343276
59,2.775169
60,2.6494765
61,2.8130932
62,-3.059373
63,-2.8116055
64,-2.8643227
65,-2.6744184
66,-2.9665494
67,-2.6092334
68,-2.53488
69,-2.570767
70,2.2708464
71,2.8762298
72,2.479227
73,3.0192237
74,-2.400551
75,-1.856818
76,0.0006272408
77,1.838265
78,-2.8478222
79,0.03812403
80,1.1698943
81,0.7972152
82,1.0373882
83,1.5569452
84,1.9288082
85,1.3129389
86,1.6343373
87,1.4608512
88,1.7014005
89,2.223514
90,2.3082006
91,2.2795308
92,2.1873827
93,2.5799088
94,2.5558197
95,2.4903123
96,3.0470877
97,-3.0059385
98,-3.0836446
99,2.9366057
100,3.0349593
101,3.0323448
102,3.0692549
103,2.4966984
104,2.4077678
105,2.3688748
106,2.518338
107,2.7714162
108,2.7004757
109,2.9838555
110,-2.8081632
111,3.1252747
112,-2.9373095
113,-2.7600398
114,-3.0044389
115,-2.8291495
116,-3.0652685
117,-2.5753818
118,-2.9659116
119,2.7172315
120,3.1395226
121,-3.028675
122,-2.775158
123,-2.891294
124,-2.9991517
125,-3.047978
126,2.3866982
127,2.6856477
128,2.9270992
129,-2.9020529
130,-2.7560399
131,-2.5000951
132,-1.980415
133,-2.3212023
134,-2.9093974
135,-2.2781844
136,-2.444588
137,-2.062149
138,-1.6294835
139,-1.6004885
140,-0.6300297
141,-0.6832371
142,0.22376844
143,1.3541739
144,1.5617554
145,2.0431051
146,2.9195755
147,2.638789
148,1.9348227
149,1.9996123
150,2.0672398
151,2.3879392
152,2.4230614
153,2.5901573
154,2.6363096
155,2.7650502
156,2.8814108
157,2.9965246
158,3.1084697
159,-2.8220668
160,-2.349895
161,-2.5452614
162,-2.5096657
163,-2.5523336
164,-2.7751603
165,-2.7319138
166,-2.864362
167,-2.5680807
168,-2.5941625
169,-2.644925
170,-2.3067815
171,-2.3581018
172,-2.0320296
173,-2.1418028
174,-2.3765152
175,-2.5166895
176,-2.2676876
177,-2.8840115
178,-2.4403508
179,-2.2772021
180,-2.1198502
181,-2.5252962
182,-2.618764
183,-2.718788
184,-2.6984496
185,-2.5979073
186,-2.5058613
187,-2.3830273
188,-2.311185
189,-2.2611403
190,-2.4987671
191,-2.7242887
192,-2.5608337
193,-2.3792086
194,-2.2446687
195,-2.2468812
196,-2.1409607
197,-2.1233616
198,-1.9922466
199,-1.8954799
200,-1.801803
201,-1.6586035
202,-1.7484118
203,-1.8888133
204,-1.9168118
205,-1.7353898
206,-1.8120315
207,-1.4694583
208,-1.4053708
209,-1.3697828
210,-1.2632337
211,-1.1755989
212,-1.1546184
213,-1.1647513
214,-1.1409452
215,-1.0974485
216,-0.93228275
217,-1.0514274
218,-0.9280795
219,-0.73620486
220,-0.7785224
221,-0.75364774
222,-0.6032733
223,-0.60347134
224,-0.5730461
225,-0.45383406
226,-0.28973925
227,-0.21100919
228,-0.21993646
229,-0.3569236
230,-0.47415447
231,-0.46876967
232,-0.13430431
233,0.083077006
234,0.29202595
235,0.1920499
236,0.15148537
237,0.5586327
238,0.5892618
239,0.78907967
240,0.931536
241,0.83315194
242,1.1080856
243,0.66626096
244,0.75893
245,1.2408947
246,1.6354916
247,1.3709099
248,1.1063173
249,1.5727849
250,1.2823025
251,0.9031842
252,1.0801355
253,1.4952112
254,1.7012016
255,1.88888
256,1.8641241
257,2.23885
258,1.5505478
259,1.9206077
260,2.4170065
261,2.5164497
262,2.7020118
263,2.8593998
264,-3.0334175
265,-2.7264652
266,-2.75853
267,-2.6329532
268,-2.2829046
269,-1.985643
270,-1.8425597
271,-2.0102355
272,-1.7035387
273,-1.7318615
274,-1.5302845
275,-1.3633814
276,-1.3130445
277,-0.7937532
278,-1.098055
279,-1.3288502
280,-1.0955389
281,-0.8065739
282,-0.9057704
283,-0.72581536
284,-0.6958322
285,-0.5617949
286,-0.41486767
287,-0.31544593
