x,y
1,2.3220253
2,2.764694
3,2.7622213
4,3.0091934
5,3.0089421
6,-3.103056
7,-3.1051824
8,-2.9639714
9,-2.9673557
10,-2.848485
11,-2.8470836
12,-2.7520037
13,-2.759597
14,-2.6642935
15,-2.668188
16,-2.585641
17,-2.588852
18,-2.5180004
19,-2.5161855
20,-2.4394746
21,-2.4367807
22,-2.3688955
23,-2.3605757
24,-2.310013
25,-2.3078873
26,-2.241005
27,-2.2517571
28,-2.199489
29,-2.2009478
30,-2.1548967
31,-2.1555915
32,-2.103747
33,-2.0815864
34,-2.039809
35,-2.0180936
36,-1.9787158
37,-1.9840424
38,-1.952205
39,-1.9487714
40,-1.9164228
41,-1.8907694
42,-1.881688
43,-1.8590328
44,-1.8307182
45,-1.8446854
46,-1.8062472
47,-1.8243603
48,-1.7929546
49,-1.820063
50,-1.8014967
51,-1.8068714
52,-1.7836059
53,-1.7482728
54,-1.7209748
55,-1.7042116
56,-1.6866883
57,-1.6950516
58,-1.6837162
59,-1.679921
60,-1.7018055
61,-1.7173574
62,-1.691805
63,-1.6727121
64,-1.6607349
65,-1.6451241
66,-1.6419717
67,-1.6220369
68,-1.6447237
69,-1.6520514
70,-1.6859291
71,-1.6298357
72,-1.5854762
73,-1.5904427
74,-1.5802255
75,-1.5714338
76,-1.597909
77,-1.5895883
78,-1.5458702
79,-1.5194086
80,-1.4744477
81,-1.447292
82,-1.4348006
83,-1.485562
84,-1.4500313
85,-1.391817
86,-1.4519603
87,-1.4011801
88,-1.3633707
89,-1.3424616
90,-1.2971443
91,-1.3138012
92,-1.3866738
93,-1.4003944
94,-1.3684154
95,-1.3588818
96,-1.413123
97,-1.4140797
98,-1.3706272
99,-1.4193647
100,-1.6102946
101,-1.6122093
102,-1.618847
103,-1.5757189
104,-1.4979618
105,-1.5411073
106,-1.5620074
107,-1.5234152
108,-1.5820453
109,-1.5982136
110,-1.574432
111,-1.5094001
112,-1.5346913
113,-1.632554
114,-1.5836337
115,-1.68528
116,-1.6173733
117,-1.5228316
118,-1.5642053
119,-1.5457089
120,-1.5629908
121,-1.5189033
122,-1.3978864
123,-1.4205939
124,-1.3840338
125,-1.2778077
126,-1.2581025
127,-1.2955681
128,-1.1538162
129,-1.1384856
130,-1.2666802
131,-1.4369793
132,-1.3973281
133,-1.24171
134,-1.4233363
135,-1.5106442
136,-1.6756136
137,-1.7420955
138,-1.6509637
139,-1.7190922
140,-1.6902261
141,-1.6511307
142,-1.6786909
143,-1.7956927
144,-1.8927068
145,-1.9087123
146,-2.0189977
147,-2.0734015
148,-2.1373744
149,-2.0899808
150,-2.0706933
151,-2.0829673
152,-2.0351286
153,-1.9299622
154,-1.954173
155,-1.9294969
156,-1.8587965
157,-1.7792114
158,-1.7504768
159,-1.7595894
160,-1.7636961
161,-1.7009829
162,-1.5330156
163,-1.5331541
164,-1.4872056
165,-1.316186
166,-1.4566916
167,-1.4902349
168,-1.3792205
169,-1.3584245
170,-1.2819605
171,-1.2204871
172,-1.2364805
173,-1.1903411
174,-1.1348919
175,-1.1061931
176,-1.0720271
177,-1.0869935
178,-1.083147
179,-1.0292345
180,-1.0906553
181,-0.98976207
182,-1.0659293
183,-0.950438
184,-1.0464326
185,-1.2026724
186,-1.2373309
187,-1.0789707
188,-1.0020411
189,-1.0306731
190,-1.3332741
191,-1.3228705
192,-1.2559952
193,-1.2310532
194,-1.5226703
195,-1.7192667
196,-1.7538838
197,-1.7200516
198,-1.6576264
199,-1.4571867
200,-1.5928613
201,-1.7785099
202,-1.8905288
203,-1.8399475
204,-1.767165
205,-1.7731371
206,-1.8410116
207,-1.8308548
208,-1.6985687
209,-1.7211909
210,-1.9249083
211,-1.7809584
212,-1.664886
213,-1.6447654
214,-1.568593
215,-1.4340402
216,-1.4376022
217,-1.4406565
218,-1.4380774
219,-1.3312016
220,-1.2401943
221,-1.3459711
222,-1.2634301
223,-1.3131367
224,-1.2351915
225,-1.4283841
226,-1.5109985
227,-1.3850245
228,-1.3314531
229,-1.3099065
230,-1.3981626
231,-1.5128073
232,-1.5344932
233,-1.5325226
234,-1.600001
235,-1.5844721
236,-1.6066831
237,-1.7108507
238,-1.6494685
239,-1.6062925
240,-1.5053169
241,-1.4804341
242,-1.3843977
243,-1.6027656
244,-1.5119423
245,-1.3378139
246,-1.2885557
247,-1.6239356
248,-1.4779893
249,-1.5585752
250,-1.538256
251,-1.5388111
252,-1.5264447
253,-1.5784255
254,-1.6020849
255,-1.665813
256,-1.6055192
257,-1.7870775
258,-1.7314982
259,-1.62015
260,-1.5130965
261,-1.4695115
262,-1.4898552
263,-1.3802353
264,-1.3428392
265,-1.3417568
266,-1.4419572
267,-1.2696884
268,-1.2730038
269,-1.2538604
270,-1.2269564
271,-1.1446828
272,-1.2321945
273,-1.1406474
274,-1.1329592
275,-0.99117255
276,-0.97420347
277,-0.84160835
278,-0.6647251
279,-0.5997365
280,-0.5498508
281,-0.33611366
282,-0.4192385
283,-0.3916151
284,-0.2814122
285,-0.111319356
286,-0.2213757
287,-0.07321466
288,-0.16197264
289,-0.020050129
290,-0.09739306
291,0.25593844
292,0.49130523
293,-0.7741216
294,-0.7413332
295,-0.18346447
296,-0.22333446
297,-0.06802262
298,0.25310805
299,-0.44846463
300,-0.46385568
301,-1.4719089
302,-2.5867777
303,-2.4668489
304,-1.8561605
305,-1.6502265
306,-1.5565649
307,-1.4262595
308,-1.6585437
309,-1.6651808
310,-1.9832906
311,-2.1702342
312,-1.8450022
313,-1.7758396
314,-1.7581371
315,-1.571847
316,-1.4318174
317,-1.131284
318,-1.025902
319,-0.92693913
320,-1.1781074
321,-0.8523782
322,-1.0854076
323,-1.131809
324,-1.4835192
325,-1.1500193
326,-1.285116
327,-1.5823561
328,-1.4617902
329,-1.1890064
330,-1.2991549
331,-0.86701083
332,-0.868961
333,-0.72177273
334,-1.025032
335,-1.2255672
336,-0.94232756
337,-0.5823939
338,-0.9128964
339,-0.83167607
340,-0.54746896
341,-2.6559234
342,-2.64533
343,-2.2372704
344,-2.2051866
345,-2.325511
346,-2.292559
347,-2.0077596
348,-1.8919804
349,-1.6787812
350,-1.5687505
351,-1.442347
352,-1.0987712
353,-1.1485897
354,-1.2092894
355,-1.2370074
356,-1.1065515
357,-1.1899536
358,-1.3248442
359,-1.3227569
360,-1.5557809
361,-1.5439596
362,-1.3326215
363,-1.1190559
364,-0.8025092
365,-1.423626
366,-1.4747865
367,-1.783972
368,-1.4200567
369,-1.4873832
370,-1.6291447
371,-1.4854844
372,-1.4710857
373,-1.1577069
374,-1.1968869
375,-1.4790365
376,-1.303071
377,-1.2142721
378,-1.4152142
379,-1.3106742
380,-1.2630209
381,-1.2555957
382,-1.437581
383,-1.1572106
384,-1.0071853
385,-0.90255654
386,-0.87850684
387,-0.48574176
388,-0.15857086
389,-0.33269882
390,-0.19802462
391,-0.3871302
392,-0.33270204
393,-0.111875914
394,0.1938838
395,0.4159287
396,0.6595701
397,1.3961815
398,1.7013091
399,1.4884884
400,1.6196451
401,1.5366442
402,2.237502
403,1.9112118
404,2.0630302
405,2.431918
406,2.4797611
407,2.9466012
408,3.0840223
409,3.0639837
410,-2.7704866
411,-2.7927606
412,-2.9347792
413,-2.776785
414,-3.0690355
415,-2.9416316
416,-2.5524862
417,-2.4912825
418,-2.331696
419,-2.767054
420,-2.8276854
421,-2.701299
422,-2.564688
423,-3.0640516
424,2.5078075
425,2.9695928
426,-2.8942711
427,-2.859951
428,-2.8028357
429,-2.9260612
430,-2.9523263
431,-2.7917948
432,-2.5359714
433,-2.456356
434,-2.1136084
435,-2.7646701
436,-2.3808784
437,-2.4334884
438,-2.173107
439,-2.070488
440,-2.0637722
441,-1.9574168
442,-2.070025
443,-2.2481914
444,-2.3440034
445,-2.1307373
446,-2.3511639
447,-2.2656083
448,-2.317527
449,-2.18773
450,-2.2105408
451,-2.101978
452,-1.886053
453,-1.7951416
454,-1.8252203
455,-1.8038392
456,-1.8367363
457,-1.9915358
458,-2.070157
459,-1.8915954
460,-1.9684535
461,-2.1009345
462,-1.9333918
463,-1.846063
464,-1.9456844
465,-1.5865122
466,-2.0748436
467,-2.0650148
468,-1.802609
469,-1.4084362
470,-1.6581365
471,-2.6904883
472,-2.5060325
473,-2.8952448
474,-2.6035519
475,-2.261372
476,-2.1246052
477,-1.9095217
478,-2.4348302
479,-2.631489
480,-2.868131
481,-3.076964
482,-3.0703979
483,-2.9409153
484,-2.8845158
485,-2.730832
486,-2.608025
487,-2.4610143
488,-2.4128597
489,-2.211556
490,-2.2943387
491,-2.280183
492,-2.2632396
