x,y
1,2.2754142
2,2.6634111
3,2.6562512
4,2.8208096
5,2.8384895
6,2.9742618
7,2.987726
8,3.0829117
9,3.096905
10,-3.0990782
11,-3.0748005
12,-2.9526594
13,-2.9251454
14,-2.8287902
15,-2.7849708
16,-2.7466416
17,-2.7236586
18,-2.6897793
19,-2.6810238
20,-2.655212
21,-2.6464124
22,-2.6046913
23,-2.5535858
24,-2.4583812
25,-2.4168644
26,-2.3649693
27,-2.3506289
28,-2.2835958
29,-2.2187955
30,-2.1851995
31,-2.1294856
32,-2.0765595
33,-2.0217633
34,-1.9896611
35,-1.97662
36,-1.9589196
37,-1.915924
38,-1.8546115
39,-1.8097973
40,-1.7634978
41,-1.7192303
42,-1.6917696
43,-1.6639469
44,-1.6548259
45,-1.6135032
46,-1.58514
47,-1.4486681
48,-1.4445083
49,-1.404523
50,-1.3318124
51,-1.2252
52,-1.1363003
53,-1.1290632
54,-1.0605755
55,-1.0358763
56,-0.91178644
57,-0.8938731
58,-0.82703185
59,-0.9173871
60,-0.8652155
61,-1.0386902
62,-0.99428296
63,-1.0006077
64,-0.9436168
65,-0.78206
66,-0.67119867
67,-0.57577044
68,-0.44474667
69,-0.250464
70,0.027201343
71,0.072524086
72,0.37931237
73,0.64575005
74,1.1180059
75,1.5224081
76,1.4667393
77,1.6530064
78,1.9518106
79,2.0610285
80,2.0673528
81,2.3058968
82,2.3302755
83,2.4195657
84,2.5739703
85,2.804264
86,2.8356209
87,3.0063536
88,-3.1087816
89,-3.0580564
90,-3.0448046
91,-2.9890997
92,-2.9185917
93,-2.8579373
94,-2.797456
95,-2.656086
96,-2.5793068
97,-2.486577
98,-2.334468
99,-2.2751296
100,-2.2370853
101,-2.1802268
102,-2.141058
103,-2.1231565
104,-2.0817735
105,-2.018249
106,-1.9713131
107,-1.940914
108,-1.881676
109,-1.8431528
110,-1.6991265
111,-1.697952
112,-1.6885517
113,-1.631211
114,-1.464644
115,-1.4599875
116,-1.4116153
117,-1.4422575
118,-1.2590716
119,-1.0628349
120,-1.017442
121,-0.9546306
122,-0.923274
123,-1.0916584
124,-1.1627195
125,-1.2635181
126,-1.6435518
127,-1.7611042
