Frequency,PLV
6,0.22481979735817076
7,0.2234265709460275
8,0.2206120670332438
9,0.2163511453675236
10,0.21067065715877586
11,0.2036960366424012
12,0.19567501861726072
13,0.1869659490860286
14,0.1779904275491649
15,0.16916218583175618
16,0.16081212082105473
17,0.1531309524153766
18,0.14614595314254092
19,0.1397384001978688
20,0.1336968971682981
21,0.1277919332142819
22,0.12185182034783737
23,0.1158208325894893
24,0.10978639149503547
25,0.1039712122425423
26,0.09869533542100606
27,0.09431922270567265
28,0.09118129569599255
29,0.08954185644103323
