x,y
1,2.9775393
2,-2.3719947
3,-2.1799963
4,-1.892334
5,-1.7427853
6,-1.5912335
7,-1.4541571
8,-1.3354068
9,-1.21199
10,-1.1175511
11,-1.0086582
12,-0.9258704
13,-0.823148
14,-0.75250167
15,-0.64843726
16,-0.5753956
17,-0.4783713
18,-0.40923855
19,-0.30750638
20,-0.23941192
21,-0.1517628
22,-0.08170504
23,0.020354282
24,0.09347261
25,0.19121277
26,0.25061566
27,0.34352008
28,0.4089598
29,0.4971282
30,0.56722605
31,0.6418406
32,0.7003313
33,0.76742667
34,0.82427216
35,0.8964386
36,0.9516182
37,1.0222151
38,1.0772731
39,1.137941
40,1.1860926
41,1.247412
42,1.2923794
43,1.3331778
44,1.3831722
45,1.4326632
46,1.4645813
47,1.5101488
48,1.5664616
49,1.6121264
50,1.6671578
51,1.7091917
52,1.7586489
53,1.8133303
54,1.8702456
55,1.9074441
56,1.964327
57,2.0221279
58,2.0782967
59,2.1404996
60,2.207571
61,2.2619183
62,2.33648
63,2.3783371
64,2.447741
65,2.4980361
66,2.5708537
67,2.6346123
68,2.7203765
69,2.7918243
70,2.8691328
71,2.8969102
72,3.0101025
73,3.0593576
74,-3.1279347
75,-3.088352
76,-2.98829
77,-2.9209542
78,-2.838103
79,-2.7642603
80,-2.6516087
81,-2.5866194
82,-2.4993088
83,-2.4064891
84,-2.313518
85,-2.1908076
86,-2.0860615
87,-1.9816867
88,-1.8555135
89,-1.7455715
90,-1.6216105
91,-1.4949065
92,-1.4116291
93,-1.2867587
94,-1.1843035
95,-1.1017638
96,-0.96025836
97,-0.85425556
98,-0.7942686
99,-0.6968924
100,-0.6166755
101,-0.5620677
102,-0.54244196
103,-0.44009134
104,-0.36647043
105,-0.28037697
106,-0.28378338
107,-0.19652897
108,-0.16125613
109,-0.13845864
110,-0.11265412
111,-0.04453022
112,-0.04700324
113,-0.041338593
114,-0.028629037
115,0.016241595
116,0.0031194144
117,0.0041866126
118,0.01798452
119,0.07432897
120,0.12423434
121,0.2015521
122,0.24873416
123,0.31091213
124,0.3984351
125,0.5123712
126,0.5689075
127,0.643677
128,0.678981
129,0.74243313
130,0.80515563
131,0.86681676
132,0.9044509
133,1.0080652
134,1.0533668
135,1.128555
136,1.1894331
137,1.2786813
138,1.350878
139,1.4277414
140,1.4753388
141,1.5685859
