Frequency,PLV
6,0.3559830996138771
7,0.3621278538803735
8,0.37379645538772877
9,0.38884270956675676
10,0.4009962737202933
11,0.3997031400274632
12,0.3765046881616828
13,0.33272374915399183
14,0.27944702426523604
15,0.22967307102303536
16,0.19053608248130177
17,0.1613046040347198
18,0.13702918647301643
19,0.11429415264558573
20,0.09432105341129521
21,0.08080066203333698
22,0.07490425785876274
23,0.0730320744922921
24,0.07014841922800796
25,0.06499104610673684
26,0.06078890348717647
27,0.06083921560213532
28,0.06458142836824345
29,0.06817898444945814
