x,y
1,2.0775032
2,2.3200126
3,2.3325043
4,2.440372
5,2.4434729
6,2.5121357
7,2.5267446
8,2.5817184
9,2.609848
10,2.652069
11,2.671075
12,2.7164574
13,2.7356176
14,2.7748299
15,2.8055866
16,2.8483083
17,2.8772247
18,2.8988974
19,2.901724
20,2.9227397
21,2.9449878
22,2.968828
23,2.9823008
24,3.0097802
25,3.0300448
26,3.0346942
27,3.059417
28,3.0852575
29,3.1021945
30,3.1220999
31,-3.12134
32,-3.1065848
33,-3.0865386
34,-3.0813508
35,-3.0576005
36,-3.0753655
37,-3.0458636
38,-3.0460665
39,-3.014544
40,-3.025306
41,-3.0177455
42,-3.0270426
43,-2.9876406
44,-2.9890673
45,-2.9618652
46,-2.970511
47,-2.9534316
48,-2.970435
49,-2.9382355
50,-2.9486265
51,-2.915621
52,-2.9165435
53,-2.902802
54,-2.8957076
55,-2.8595412
56,-2.8404133
57,-2.8154118
58,-2.8078637
59,-2.768864
60,-2.7682738
61,-2.7186081
62,-2.6943853
63,-2.6800432
64,-2.6707206
65,-2.6216393
66,-2.6233659
67,-2.6043806
68,-2.590365
69,-2.5565355
70,-2.5517716
71,-2.5316956
72,-2.510972
73,-2.5023572
74,-2.492231
75,-2.4727798
76,-2.4592533
77,-2.420083
78,-2.4076734
79,-2.3598142
80,-2.3495193
81,-2.3281903
82,-2.3141308
83,-2.2679682
84,-2.2506378
85,-2.2124119
86,-2.1899214
87,-2.1427295
88,-2.1054523
89,-2.0692625
90,-2.0721135
91,-2.042934
92,-2.041254
93,-2.0176082
94,-1.962773
95,-1.9091226
96,-1.9027438
97,-1.870128
98,-1.8498721
99,-1.8175015
100,-1.7834724
101,-1.7196418
102,-1.6943847
103,-1.6611514
104,-1.6073965
105,-1.5367719
106,-1.5208142
107,-1.4887775
108,-1.4760429
109,-1.4320164
110,-1.3872529
111,-1.3543627
112,-1.2955331
113,-1.2086251
114,-1.1886601
115,-1.1813923
116,-1.095721
117,-1.0479876
118,-0.9666093
119,-0.90573066
120,-0.82252705
121,-0.8033625
122,-0.70376414
123,-0.71136904
124,-0.63374937
125,-0.6621835
126,-0.5478278
127,-0.5429784
128,-0.39816988
129,-0.38039383
130,-0.2956574
131,-0.4262846
132,-0.3039628
133,-0.3597734
134,-0.19943441
135,-0.4014081
136,-0.39395714
137,-0.4825776
138,-0.02073748
139,-0.60372984
140,1.8393102
141,-2.6683512
142,-3.0916803
143,-2.5316613
144,-2.886961
145,-2.5888355
146,-2.9378607
147,-2.6437159
148,-2.6606839
149,-2.5842214
150,-2.637807
151,-2.4384503
152,-2.5266275
153,-2.3462408
154,-2.3299005
155,-2.1814282
156,-2.2322385
157,-2.0579338
158,-1.7006692
159,-1.7413228
160,-1.9393388
161,-1.9150655
162,-1.897226
163,-1.8967131
164,-1.8932072
165,-1.8779925
166,-1.8469902
167,-1.7832526
168,-1.7276334
169,-1.6502259
170,-1.3343983
171,-1.2310617
172,-1.2358698
173,-1.2093925
174,-1.1830716
175,-1.1482285
176,-1.0234354
177,-1.0873888
178,-0.77894837
179,-0.5312064
180,-0.38143134
181,-0.32487813
182,-0.16063517
183,-0.13364653
184,0.037285507
185,0.08632051
186,0.29186016
187,0.34175164
188,0.60700905
189,0.09922562
190,0.2284937
191,0.8094379
192,1.1394236
193,1.4126165
194,1.6363581
195,2.0779393
196,2.4381628
197,-2.8709185
198,-1.5164884
199,2.2852197
200,-2.6115415
201,-1.2550728
202,1.225236
203,2.7530634
204,2.8246973
205,-2.893384
206,-2.971152
207,-2.8145454
208,-2.8416617
209,-2.4053798
210,-1.8897393
211,-2.047329
212,-2.2559538
213,-2.025704
214,-2.0384264
215,-2.073565
216,-2.2211287
217,-2.1534069
218,-2.079748
219,-1.9501208
220,-1.8629147
221,-1.7561723
222,-1.6769253
223,-1.6035503
224,-1.531722
225,-1.4451355
226,-1.4369087
227,-1.3898009
228,-1.4037731
229,-1.3991928
230,-1.0014732
231,-0.7877111
232,-0.753565
233,-0.6948184
234,-0.529503
235,-0.52927786
236,-0.48312324
237,-0.39600304
238,-0.252808
239,-0.28889903
240,-0.10971379
241,-0.19588868
242,-0.0062657967
243,-0.075237766
244,0.055539507
245,-0.07699961
246,0.08221597
247,-0.026072599
248,0.25702968
249,0.16187096
250,0.36913896
251,-0.54387385
252,-0.18269062
253,0.31479692
254,0.62609655
255,0.630272
256,0.74517184
257,0.7607531
258,0.9087691
259,0.9106811
260,1.0796653
261,1.1678562
262,1.3503281
263,1.5118604
264,1.6445553
265,1.7368251
266,1.9392172
267,2.1113381
268,2.1758306
269,2.487664
270,2.5121775
271,2.7909424
272,2.7763722
273,-3.0859678
274,3.1227803
275,-2.8227594
276,-2.8179584
277,-2.384343
278,-1.8809922
279,-1.9799349
280,-2.2668219
281,-1.9837387
282,-1.3730955
283,-1.2974653
284,-1.5540619
285,-1.596883
286,-1.5343962
287,-1.5221219
288,-1.443799
289,-1.4647099
290,-0.91162366
291,-0.66762865
292,-0.8317294
293,-0.6768018
294,-0.6587894
295,-0.6769015
296,-0.717665
297,-0.7156565
298,-0.62940615
299,-0.5972352
300,-0.74985814
301,-0.47640532
302,-0.050010588
303,-0.0013529902
304,0.19013332
305,0.29365867
306,0.46834457
307,0.52552336
308,0.72132826
309,0.79057115
310,0.8943931
311,0.9958603
312,1.0801288
313,1.1995062
314,1.3851632
315,1.4610097
316,1.5593582
317,1.6881973
