Frequency,PLV
6,0.3410657604941795
7,0.3579077284560643
8,0.38279857902794806
9,0.4022949081365157
10,0.40466890378948017
11,0.38500587322187857
12,0.3460802947798863
13,0.29539814377944007
14,0.24144685716997383
15,0.19124036391555288
16,0.14945161653115974
17,0.11889535249527576
18,0.10095211714632309
19,0.09430181620880154
20,0.09370513694596797
21,0.09229510362476255
22,0.0862522522012102
23,0.07670307754337521
24,0.06725857704148017
25,0.06089240496773713
26,0.05883644905839302
27,0.06053915007341321
28,0.06390768980354632
29,0.0663944606713634
