x,y
1,2.2358592
2,2.5942755
3,2.6040316
4,2.803306
5,2.8068545
6,2.955632
7,2.9643724
8,3.0767586
9,3.08598
10,-3.0795722
11,-3.0576735
12,-2.9496465
13,-2.949427
14,-2.8767648
15,-2.8434865
16,-2.768582
17,-2.74965
18,-2.6580596
19,-2.6105013
20,-2.5312536
21,-2.4736736
22,-2.4254842
23,-2.4086537
24,-2.3432484
25,-2.3223195
26,-2.2755404
27,-2.2338963
28,-2.2029073
29,-2.1927266
30,-2.1264203
31,-2.0779824
32,-2.0270014
33,-1.9843668
34,-1.9223075
35,-1.9116112
36,-1.8713471
37,-1.8166512
38,-1.7477483
39,-1.7585872
40,-1.6945679
41,-1.6334308
42,-1.6112245
43,-1.5611354
44,-1.5167856
45,-1.4965724
46,-1.399924
47,-1.30234
48,-1.2862127
49,-1.2541734
50,-1.22529
51,-1.2228478
52,-1.1891998
53,-1.1323221
54,-1.169517
55,-1.1081555
56,-1.2098963
57,-1.2877222
58,-1.2213275
59,-1.2641668
60,-1.3826191
61,-1.4102956
62,-1.4995662
63,-1.4815223
64,-1.4849328
65,-1.4719849
66,-1.4527692
67,-1.5358869
68,-1.7450749
69,-1.6895677
70,-1.643988
71,-1.775304
72,-1.7248952
73,-1.7792164
74,-1.7195371
75,-1.6794379
76,-1.683718
77,-1.612101
78,-1.5205302
79,-1.5345186
80,-1.3691862
81,-1.3267521
82,-1.4542484
83,-1.5487517
84,-1.7868829
85,-1.839172
86,-2.1563897
87,-2.247436
88,-2.12682
89,-2.0655246
90,-2.0663586
91,-2.255394
92,-2.2055182
93,-2.1986594
94,-2.1240196
95,-2.1309407
96,-2.029382
97,-1.9670559
98,-1.8959233
99,-1.9571021
100,-1.8836468
101,-1.8701953
102,-1.7821137
103,-1.6653599
104,-1.6354073
105,-1.5319734
106,-1.4164519
107,-1.3615032
108,-1.3415406
109,-1.2904884
110,-1.2591412
111,-1.2326804
112,-1.2209566
113,-1.2161813
114,-1.0224811
115,-0.94345
116,-0.85259897
117,-0.87664795
118,-0.9669516
119,-0.866542
120,-0.94183046
121,-0.8758197
122,-0.8441263
123,-0.6747609
124,-0.9074341
125,-0.8974675
126,-0.9667134
127,-1.0065067
128,-1.1863139
129,-1.2935991
130,-1.2782009
131,-1.2370491
132,-1.2128892
133,-1.2752583
134,-1.2288696
135,-1.1069473
136,-1.2770987
137,-1.2968345
138,-1.2613846
139,-1.1513866
140,-1.076096
141,-0.98112184
142,-0.8788281
143,-0.77966416
144,-0.7046417
145,-0.7682957
146,-0.7273598
147,-0.59541976
148,-0.7382895
149,-0.58675665
150,-0.5797036
151,-0.36451364
152,-0.30727136
153,-0.32942814
154,-0.18630037
155,-0.13608511
156,-0.06780851
157,-0.18065012
158,-0.23966105
159,-0.3161876
160,-0.43338612
161,-0.66677225
162,-0.67473984
163,-0.7003621
164,-0.99332154
165,-0.6738619
166,-0.41169226
167,-0.46814522
168,-0.41489667
169,-0.4987239
170,-0.6572972
171,-0.51226074
172,-0.46284705
173,-0.7258612
174,-0.4934405
175,-0.321219
176,-0.24972713
177,-0.21055546
178,-0.043453746
179,0.028555358
180,0.19757004
181,0.34313682
182,0.27277917
183,0.35803697
184,0.52496886
185,0.7173604
186,0.85279703
187,0.99566394
188,1.2299733
189,1.417806
190,1.5563158
191,1.8120817
192,1.9299601
193,2.2010808
194,2.4516263
195,2.765736
196,3.005241
197,-3.068042
198,-2.7646823
