Frequency,PLV
6,0.14145810494682784
7,0.1415778019816262
8,0.14178787667562795
9,0.14203235324494715
10,0.14223374443984724
11,0.14230031015661282
12,0.14213487010071657
13,0.14164443167166896
14,0.1407497563483034
15,0.13939392692414232
16,0.13754902521543927
17,0.1352202006577116
18,0.13244669555578667
19,0.12929975720484052
20,0.12587775384146258
21,0.12229915367933282
22,0.11869426233185242
23,0.11519670122425371
24,0.11193553507945844
25,0.10902873989582519
26,0.10657839218171543
27,0.10466762156934689
28,0.10335907172375508
29,0.1026944167434636
