Frequency,PLV
6,0.33203843130414923
7,0.3483005119129434
8,0.37500631935343987
9,0.40205966896323647
10,0.4176550996969682
11,0.41194676394974944
12,0.3813427378161868
13,0.3308089283691837
14,0.27169786631641196
15,0.21611656054994788
16,0.1717418822459515
17,0.14045141034445902
18,0.12069623287357961
19,0.11017938181003675
20,0.10600107427195041
21,0.10354936283781159
22,0.09748147110179613
23,0.08512560363081052
24,0.06869446686422596
25,0.05349250169901541
26,0.04382293481017609
27,0.04044343497096143
28,0.04105756100736912
29,0.04244161747423866
