x,y
1,2.0859175
2,2.3106608
3,2.3042893
4,2.4198248
5,2.4160743
6,2.5011036
7,2.4999294
8,2.5682802
9,2.5756361
10,2.6352446
11,2.6259158
12,2.6772268
13,2.6650503
14,2.7152667
15,2.7188272
16,2.7468398
17,2.7376099
18,2.7813718
19,2.7725115
20,2.810972
21,2.7905366
22,2.8329544
23,2.8259206
24,2.8466017
25,2.8704336
26,2.8956954
27,2.905341
28,2.9310749
29,2.937714
30,2.9681237
31,2.9644685
32,2.9990592
33,2.994391
34,3.0049763
35,3.006337
36,3.0184057
37,3.0333328
38,3.063347
39,3.0726302
40,3.1020007
41,3.096435
42,3.1381025
43,3.1334243
44,-3.1265907
45,-3.1228118
46,-3.1171966
47,-3.0843651
48,-3.0502994
49,-3.043336
50,-3.0215418
51,-3.0179205
52,-2.9924724
53,-2.9920673
54,-2.9695425
55,-2.9760563
56,-2.945643
57,-2.9433157
58,-2.91695
59,-2.9138863
60,-2.8615108
61,-2.8704154
62,-2.8678813
63,-2.8651526
64,-2.8488147
65,-2.843553
66,-2.8391612
67,-2.8609185
68,-2.8454247
69,-2.826695
70,-2.8046222
71,-2.801498
72,-2.7575307
73,-2.740004
74,-2.7319498
75,-2.7347136
76,-2.7381337
77,-2.7168422
78,-2.7014108
79,-2.718404
80,-2.7053714
81,-2.7247853
82,-2.719639
83,-2.7281508
84,-2.6954389
85,-2.679515
86,-2.643737
87,-2.6411753
88,-2.640037
89,-2.6395514
90,-2.6181948
91,-2.6351604
92,-2.6002896
93,-2.5881252
94,-2.6024268
95,-2.6203208
96,-2.606778
97,-2.5968022
98,-2.590178
99,-2.5886297
100,-2.5663946
101,-2.5601664
102,-2.5329113
103,-2.5759547
104,-2.5795832
105,-2.5544996
106,-2.5399992
107,-2.5098066
108,-2.5006833
109,-2.5033007
110,-2.4644094
111,-2.4674687
112,-2.437032
113,-2.4152756
114,-2.4219477
115,-2.3954215
116,-2.3798106
117,-2.3917656
118,-2.4072094
119,-2.4291852
120,-2.4299126
121,-2.4212084
122,-2.420547
123,-2.4114811
124,-2.4044828
125,-2.3761961
126,-2.3522968
127,-2.347698
128,-2.3136075
129,-2.2945163
130,-2.2487664
131,-2.2432117
132,-2.220734
133,-2.200918
134,-2.1803055
135,-2.1572025
136,-2.1066482
137,-2.109151
138,-2.076809
139,-2.029264
140,-2.0351257
141,-2.0076804
142,-1.9958266
143,-1.9444274
144,-1.8970222
145,-1.8886466
146,-1.855683
147,-1.8196006
148,-1.7741137
149,-1.7538596
150,-1.7284127
151,-1.7067828
152,-1.6674361
153,-1.6162333
154,-1.5859172
155,-1.5673616
156,-1.5392727
157,-1.5042351
158,-1.4953209
159,-1.4543183
160,-1.4281135
161,-1.3984845
162,-1.3553965
163,-1.325462
164,-1.3020344
165,-1.2734437
166,-1.2245494
167,-1.1659487
168,-1.0997827
169,-1.030464
170,-0.9786645
171,-0.9262809
172,-0.85905737
173,-0.7608517
174,-0.71219456
175,-0.65640986
176,-0.58592993
177,-0.5040673
178,-0.4749222
179,-0.4084946
180,-0.36646366
181,-0.3910838
182,-0.45793086
183,-0.5057095
184,-0.54964876
185,-0.5788584
186,-0.81079066
187,-0.8485177
188,-1.152317
189,-1.0553316
190,-1.3311193
191,-1.7030725
192,-2.065342
193,-2.2877812
194,-2.438735
195,-2.4788628
196,-2.351116
197,-2.3709521
198,-2.3704677
199,-2.3467605
200,-2.328971
201,-2.3732917
202,-2.294054
203,-2.2653255
204,-2.2114897
205,-2.1890318
206,-2.141905
207,-2.1390948
208,-2.0652876
209,-2.0395718
210,-2.0143154
211,-1.965754
212,-1.9277016
213,-1.8606318
214,-1.850519
215,-1.7778096
216,-1.7515637
217,-1.7187132
218,-1.6546233
219,-1.5698068
220,-1.5340576
221,-1.5062897
222,-1.4441456
223,-1.3335204
224,-1.2773899
225,-1.1927216
226,-1.1192403
227,-1.0626123
228,-0.96142626
229,-0.903737
230,-0.8469286
231,-0.721379
232,-0.6309648
233,-0.5649561
234,-0.45483208
235,-0.28470853
236,-0.17451634
237,-0.103205375
238,-0.027662184
239,0.21430707
240,0.33737049
241,0.4961138
242,0.64654815
243,0.75221187
244,0.8955629
245,0.9573902
246,1.1005713
247,1.2313249
248,1.383242
249,1.5322133
250,1.6770374
251,1.7080438
252,1.7756885
253,1.9599359
254,2.1459584
255,2.1062965
256,2.1851301
257,2.282749
258,2.3523843
259,2.3922899
260,2.481132
261,2.5529928
262,2.6102595
263,2.665154
264,2.7388194
265,2.8089645
266,2.8269053
267,2.7494564
268,2.8520958
269,2.9077587
270,2.947332
271,2.971889
272,3.0281417
273,3.065636
274,3.1039746
275,-3.1182938
276,-3.054459
277,-3.0374374
278,-2.9758425
279,-2.9232452
280,-2.9161909
281,-2.843977
282,-2.850658
283,-2.84579
284,-2.8601546
285,-2.8251808
286,-2.8338375
287,-2.8359432
288,-2.8298047
289,-2.8071141
290,-2.7706707
291,-2.6953251
292,-2.714801
293,-2.6715727
294,-2.6116405
295,-2.6410208
296,-2.585784
297,-2.5055346
298,-2.4786372
299,-2.4920886
300,-2.4277754
301,-2.377194
302,-2.4009118
303,-2.3684473
304,-2.327683
305,-2.307479
306,-2.291392
307,-2.28928
308,-2.2688031
309,-2.2698286
310,-2.216827
311,-2.1995432
312,-2.206784
313,-2.1541598
314,-2.1651602
315,-2.148102
316,-2.0891912
317,-2.040564
318,-2.00604
319,-1.9862514
320,-1.9918835
321,-1.9860013
322,-1.9813815
323,-1.9298683
324,-1.8630307
325,-1.8633806
326,-1.7889067
327,-1.7431937
328,-1.6883225
329,-1.625956
330,-1.6332934
331,-1.5809281
332,-1.5230926
333,-1.4860083
334,-1.4292135
335,-1.4023733
336,-1.351369
337,-1.3152614
338,-1.2745929
339,-1.1896837
340,-1.0844469
341,-0.96831757
342,-0.9144676
343,-0.88622856
344,-0.8306376
345,-0.7718949
346,-0.71921223
347,-0.6477717
348,-0.6095392
349,-0.5230366
350,-0.34486434
351,-0.24287689
352,-0.16287234
353,0.023920324
354,0.13262507
355,0.29638284
356,0.44810867
357,0.69598764
358,0.7644044
359,0.9645451
360,1.3320558
361,1.4765848
362,1.8734561
363,2.1336336
364,2.3749795
365,2.581194
366,2.7651901
367,2.9458973
368,3.0232348
369,3.0820735
370,-3.1194153
371,-3.058411
372,-2.9987957
373,-2.9624426
374,-2.8359993
375,-2.6858752
376,-2.6538212
377,-2.5719333
378,-2.5052066
379,-2.3613775
380,-2.318533
381,-2.25213
382,-2.1835303
383,-2.1454606
384,-2.0636344
385,-1.9943746
386,-1.8954648
387,-1.8381732
388,-1.8059355
389,-1.775916
390,-1.6670793
391,-1.6158974
392,-1.5216361
393,-1.5103031
394,-1.4537795
395,-1.4605613
396,-1.3967532
397,-1.3250144
398,-1.2563548
399,-1.1855575
400,-1.1644136
401,-1.0201066
402,-0.9828043
403,-0.93275434
404,-0.8781148
405,-0.8294971
406,-0.82446826
407,-0.8111035
408,-0.7456079
409,-0.75074613
410,-0.76267684
411,-0.6589534
412,-0.65130115
413,-0.6123432
414,-0.571522
415,-0.5567506
416,-0.52419394
417,-0.50905603
418,-0.5310244
419,-0.58378154
420,-0.5626579
421,-0.597462
422,-0.4978728
423,-0.5460424
424,-0.5524152
425,-0.48377073
426,-0.5384901
427,-0.5288277
428,-0.4901961
429,-0.30299956
430,-0.4978518
