x,y
1,2.1104295
2,2.3309531
3,2.3312757
4,2.4509857
5,2.4528508
6,2.5242112
7,2.528004
8,2.5962262
9,2.601552
10,2.657114
11,2.6556027
12,2.7054744
13,2.7079363
14,2.7507775
15,2.755787
16,2.7917943
17,2.7967806
18,2.8380244
19,2.846609
20,2.8839097
21,2.8774912
22,2.9246747
23,2.9157517
24,2.9574301
25,2.9496021
26,2.9951386
27,2.9964447
28,3.02964
29,3.0318036
30,3.054102
31,3.042745
32,3.0817041
33,3.0752795
34,3.1010165
35,3.0985303
36,3.1366313
37,-3.1390765
38,-3.1337316
39,3.1409771
40,-3.1364057
41,-3.1388314
42,-3.107893
43,-3.1074128
44,-3.110658
45,-3.1130197
46,-3.0888195
47,-3.0901113
48,-3.0761817
49,-3.0679286
50,-3.0270839
51,-3.028927
52,-2.9970567
53,-3.0005846
54,-2.957715
55,-2.9634426
56,-2.9549572
57,-2.9421837
58,-2.9359093
59,-2.9613879
60,-2.961861
61,-2.962804
62,-2.947236
63,-2.9142315
64,-2.8996465
65,-2.876589
66,-2.85747
67,-2.849603
68,-2.8523955
69,-2.8568347
70,-2.8234196
71,-2.82098
72,-2.8109305
73,-2.7978122
74,-2.7647166
75,-2.7610025
76,-2.7225542
77,-2.739668
78,-2.7317405
79,-2.7335408
80,-2.7292824
81,-2.7563982
82,-2.742638
83,-2.7420518
84,-2.702183
85,-2.7062106
86,-2.7040372
87,-2.7065382
88,-2.6853635
89,-2.6709182
90,-2.6448507
91,-2.648349
92,-2.6597824
93,-2.6806788
94,-2.6910274
95,-2.7012784
96,-2.6741767
97,-2.6593096
98,-2.6441185
99,-2.6420753
100,-2.6349404
101,-2.6381655
102,-2.6051204
103,-2.5737023
104,-2.572227
105,-2.566508
106,-2.5686452
107,-2.5651376
108,-2.5406668
109,-2.514825
110,-2.4834569
111,-2.4495099
112,-2.4127543
113,-2.375564
114,-2.3378773
115,-2.3091636
116,-2.301076
117,-2.2948747
118,-2.2976556
119,-2.3055882
120,-2.2934654
121,-2.29143
122,-2.2691605
123,-2.283527
124,-2.2777174
125,-2.3045692
126,-2.291934
127,-2.307799
128,-2.3308947
129,-2.335753
130,-2.3264158
131,-2.2972589
132,-2.303165
133,-2.3235655
134,-2.348882
135,-2.3508642
136,-2.3407052
137,-2.3083813
