Frequency,PLV
6,0.32934251531072295
7,0.3422281966661735
8,0.362390104290159
9,0.38062080738034104
10,0.38733619570996164
11,0.376069556414125
12,0.3462249441081232
13,0.3036174809172184
14,0.2577335106673696
15,0.2168433320992642
16,0.18423770533061545
17,0.15825647482107913
18,0.13563442805406584
19,0.11503248746726893
20,0.09795986891280628
21,0.08703026317729244
22,0.08364412406089201
23,0.0868541213911134
24,0.09363236137146122
25,0.10007142282747382
26,0.1030899421129718
27,0.1019121340959435
28,0.09832817760774583
29,0.09539850053593062
