x,y
1,2.067175
2,2.2909133
3,2.2959156
4,2.4124546
5,2.402676
6,2.4968133
7,2.4908354
8,2.572273
9,2.5541818
10,2.6135044
11,2.5974255
12,2.6585126
13,2.6606007
14,2.7068632
15,2.706274
16,2.7429025
17,2.7535348
18,2.7825882
19,2.799135
20,2.8393102
21,2.8411915
22,2.8715007
23,2.8615663
24,2.9081588
25,2.9002795
26,2.9221094
27,2.9149501
28,2.9401696
29,2.9283948
30,2.9448402
31,2.9220796
32,2.9581876
33,2.9532783
34,2.9743426
35,2.9805214
36,2.985744
37,2.9724603
38,3.0090725
39,3.006341
40,3.0339663
41,3.0254474
42,3.0485282
43,3.0517418
44,3.0839033
45,3.0970395
46,3.134322
47,3.129111
48,-3.122515
49,3.1221917
50,-3.1299567
51,-3.1288755
52,-3.107171
53,-3.0931177
54,-3.0746613
55,-3.0663838
56,-3.0316284
57,-3.047418
58,-3.0437112
59,-3.0362146
60,-3.0234132
61,-3.0094492
62,-2.9861188
63,-2.9865973
64,-2.990309
65,-3.0139706
66,-2.999357
67,-2.9866176
68,-2.9606519
69,-2.9782112
70,-2.9385269
71,-2.938675
72,-2.9482746
73,-2.9431455
74,-2.9350042
75,-2.9092283
76,-2.8997166
77,-2.8878899
78,-2.8866751
79,-2.8941376
80,-2.8613338
81,-2.869233
82,-2.8544364
83,-2.8462408
84,-2.8281863
85,-2.848499
86,-2.842791
87,-2.853296
88,-2.8553257
89,-2.8269253
90,-2.825757
91,-2.8410337
92,-2.8189278
93,-2.80132
94,-2.7890377
95,-2.7793982
96,-2.751542
97,-2.7306647
98,-2.7040758
99,-2.6878831
100,-2.6519804
101,-2.6650305
102,-2.6271923
103,-2.6174486
104,-2.5797837
105,-2.5727615
106,-2.5691528
107,-2.6017835
108,-2.5766895
109,-2.5632157
110,-2.560437
111,-2.556457
112,-2.5319107
113,-2.528333
114,-2.515384
115,-2.5028844
116,-2.4839149
117,-2.4811225
118,-2.4543147
119,-2.4535112
120,-2.474676
121,-2.4645953
122,-2.4595852
123,-2.427667
124,-2.4334426
125,-2.4047508
126,-2.3892846
127,-2.3929358
128,-2.3557997
129,-2.355906
130,-2.3153687
131,-2.3027725
132,-2.2794728
133,-2.2591567
134,-2.247293
135,-2.250413
136,-2.2629
137,-2.2706256
138,-2.2500954
139,-2.2491798
140,-2.2159727
141,-2.1883035
142,-2.1981816
143,-2.170474
