Frequency,PLV
6,0.32018062697047706
7,0.3350772317719518
8,0.35946922057693276
9,0.38365846560522354
10,0.39664907133986826
11,0.39060867892637513
12,0.36429572613588973
13,0.32307751514237526
14,0.2758347156823898
15,0.23108347229519496
16,0.19410328806890778
17,0.16568813856344528
18,0.14298043013997125
19,0.12216616863584939
20,0.10110903013319295
21,0.07996640801303018
22,0.060123551428812844
23,0.043165117247401574
24,0.030555556745822998
25,0.023456268506361712
26,0.022223732960266272
27,0.025772063711346223
28,0.03136657923498131
29,0.03545081535064126
