x,y
1,-1.036706
2,-1.147186
3,-1.5126394
4,-1.6493583
5,-1.6915903
6,-1.9887525
7,-1.4508798
8,-1.9822632
9,-1.7620236
10,-1.4556336
11,-1.1790546
12,-1.1610949
13,-1.2327623
14,-1.5875841
15,-1.490765
16,-1.3642577
17,-1.2415142
18,-1.3244011
19,-1.2118294
20,-1.1591382
21,-1.163671
22,-1.3176253
23,-1.412229
24,-1.0967113
25,-0.87309164
26,-0.8468144
27,-0.9136523
28,-0.65638757
29,-0.54803836
30,-0.5291032
31,-0.3948073
32,-0.1275898
33,0.0401822
34,0.1964513
35,0.2582878
36,0.4257399
37,0.29494497
38,0.33766666
39,0.18148936
40,0.36243278
41,0.3764423
42,0.3205868
43,0.51752317
44,0.21917264
45,0.5332916
46,0.39015174
47,0.41289836
48,0.4772005
49,0.61698985
50,0.8813365
51,0.83621323
52,1.1936314
53,1.2889354
54,1.1849093
55,1.3506008
56,1.3437345
57,1.4893355
58,1.6307207
59,1.9438239
60,1.9682716
61,2.0321932
62,2.0414681
63,2.2242794
64,2.341966
65,2.6547945
66,2.6068926
67,2.8908148
68,-2.9731078
69,-2.923556
70,-2.8169155
71,-2.514324
72,-1.7075473
73,-2.862764
74,-2.2457628
75,-2.3657606
76,-2.7219007
77,-2.022802
78,-2.5298457
79,-2.4112406
80,-2.0694652
81,-2.0226154
82,2.0239584
83,2.961236
84,-2.830384
85,-2.8810592
86,-2.3962135
87,-2.387415
88,-2.0561385
89,-1.646163
90,-1.5033624
91,-1.6957248
92,-1.5866941
93,-1.2061265
94,-0.86290693
95,-1.144906
96,-1.2805704
97,-1.3483397
98,-1.3995405
99,-1.0936816
100,-1.6730081
101,-1.537034
102,-1.3202245
103,-1.0346256
104,-0.888947
105,-0.6988925
106,-0.5729431
107,-0.41445723
108,-0.8875736
109,-0.56267893
110,-0.40295482
111,-0.6840415
112,-0.4434446
113,-0.5228845
114,-0.37397116
115,-0.27120855
116,-0.33395004
117,-0.4693624
118,-0.213153
119,-0.09909537
120,-0.014283055
121,0.10821083
122,0.1078882
123,0.16812015
124,0.3651365
125,0.5619193
126,0.48843825
127,0.51262724
128,0.44626066
129,0.23202302
130,0.28657216
131,0.22714326
132,0.20841283
133,0.33985302
134,0.5497195
135,0.72559327
136,0.74915683
137,0.8437916
138,0.9864328
139,1.2483699
140,1.4460393
141,1.5022993
142,1.5338955
143,1.5926329
144,1.7402487
145,1.9218246
146,2.111085
147,2.2859979
148,2.3418705
149,2.4198594
150,2.4494958
151,2.3050122
152,2.3471088
153,2.4497333
154,2.2087257
155,2.3072
156,2.6584463
157,2.5652416
158,2.6283967
159,2.6778166
160,2.7484376
161,2.8803215
162,2.9864662
163,3.0061233
164,-3.0486677
165,-2.777655
166,-2.7297196
167,-2.703098
168,-2.4970586
169,-2.0779428
170,-1.9717857
171,-2.385147
172,-2.260717
173,-1.8149326
174,-1.524364
175,-1.0494013
176,-0.5243244
177,-1.8061846
178,-1.4153901
179,-1.2602671
180,-0.7142126
181,-0.8260128
182,-1.170892
183,-0.6358111
184,-1.6781826
185,-0.47656065
186,0.49856564
187,0.63909173
188,1.5611303
189,2.4709282
190,-3.1314008
191,-2.6385062
192,-2.1899152
193,-1.6824889
194,-2.2467718
195,-1.8453025
196,-1.6060368
197,-1.1793529
198,-0.80607647
199,-0.99600405
200,-0.7501896
201,-0.4192556
202,0.0055685313
203,-0.07038626
204,0.3729884
205,0.6495917
206,1.190631
207,1.1317728
208,1.2713085
209,2.3254938
210,2.038526
211,2.7366946
212,-2.8901994
213,-2.6014993
214,-1.7673329
215,-2.63766
216,-1.7500627
