t,raw
0.0,0.29601422
1.0,0.19426905
2.0,0.019788677
3.0,-0.04208122
4.0,-0.044790942
5.0,-0.30078387
6.0,0.08393846
7.0,-0.23836342
8.0,-0.1906998
9.0,0.12007313
10.0,0.36210367
11.0,0.28543425
12.0,0.21275006
13.0,-0.010932834
14.0,0.072975144
15.0,0.19122614
16.0,0.30480587
17.0,0.21798953
18.0,0.37293443
19.0,0.37252218
20.0,0.3971712
21.0,0.22153848
22.0,0.21962462
23.0,0.75275844
24.0,1.0228839
25.0,0.91261053
26.0,1.0258954
27.0,1.4692988
28.0,1.463233
29.0,1.5460206
30.0,1.9100418
31.0,2.0669677
32.0,1.9040493
33.0,1.6802036
34.0,1.5073448
35.0,1.2420887
36.0,1.0642924
37.0,1.0872968
38.0,1.058734
39.0,1.2177509
40.0,0.90468174
41.0,1.1845316
42.0,0.8570496
43.0,1.1326714
44.0,1.0801846
45.0,0.9634996
46.0,1.2166389
47.0,1.2147745
48.0,1.369265
49.0,0.97738206
50.0,1.0747073
51.0,0.64364773
52.0,0.3364621
53.0,0.52413416
54.0,0.28616095
55.0,0.3120437
56.0,0.1158243
57.0,-0.09369073
58.0,-0.5190882
59.0,-0.45825902
60.0,-0.5114838
61.0,-0.5353706
62.0,-0.7479609
63.0,-0.8821533
64.0,-1.0676948
65.0,-0.89431596
66.0,-1.2892451
67.0,-1.0266606
68.0,-0.84089804
69.0,-0.75375074
70.0,-0.74920166
71.0,-0.083062
72.0,-0.19423096
73.0,-0.27097803
74.0,-0.08657363
75.0,-0.34522343
76.0,-0.1330243
77.0,-0.13391516
78.0,-0.19842681
79.0,-0.0845061
80.0,-0.03086647
81.0,-0.12528865
82.0,-0.6300689
83.0,-0.513758
84.0,-0.7114076
85.0,-0.6057495
86.0,-0.58250225
87.0,-0.4967683
88.0,-0.07072792
89.0,0.049418107
90.0,-0.08325846
91.0,-0.014682889
92.0,0.33844256
93.0,0.47088403
94.0,0.17489073
95.0,0.1708216
96.0,0.10739436
97.0,0.12624274
98.0,0.26482648
99.0,-0.06466634
100.0,0.032850977
101.0,0.30265796
102.0,0.6549253
103.0,0.79795605
104.0,0.95027095
105.0,0.9764024
106.0,0.83289546
107.0,0.5766897
108.0,1.1117523
109.0,0.81852317
110.0,0.87607646
111.0,1.0560006
112.0,1.022603
113.0,1.2304136
114.0,1.1865021
115.0,1.0529709
116.0,1.2604713
117.0,1.6355852
118.0,1.5491232
119.0,1.6590207
120.0,1.557858
121.0,1.5507764
122.0,1.6713156
123.0,1.6788199
124.0,1.2818656
125.0,1.1496607
126.0,1.1218215
127.0,0.9868116
128.0,1.1907108
129.0,1.3465337
130.0,1.4087076
131.0,1.7733486
132.0,2.056182
133.0,2.0826128
134.0,1.7434521
135.0,1.7276126
136.0,1.7192067
137.0,1.5858246
138.0,0.94526887
139.0,0.3255274
140.0,0.16178872
141.0,0.084548265
142.0,-0.0524363
143.0,-0.4231685
144.0,-0.8519263
145.0,-1.1970221
146.0,-1.3226901
147.0,-1.1897345
148.0,-1.1695834
149.0,-0.963511
150.0,-0.80051386
151.0,-0.88877225
152.0,-0.87386453
153.0,-0.6255641
154.0,-1.0001115
155.0,-1.1898044
156.0,-0.934089
157.0,-1.0659634
158.0,-1.0438979
159.0,-1.1506209
160.0,-1.1979346
161.0,-1.1710875
162.0,-1.2055948
163.0,-1.3559301
164.0,-1.095174
165.0,-0.917559
166.0,-0.89947796
167.0,-0.88647693
168.0,-0.46112096
169.0,-0.22004628
170.0,-0.38340676
171.0,-0.48406282
172.0,-0.18670075
173.0,0.030302895
174.0,0.2781687
175.0,0.18180114
