x,y
0.0,13.964661
0.001,9.293116
0.002,9.004426
0.003,7.9550867
0.004,7.711223
0.005,7.2566547
0.006,7.0586276
0.007,6.8057876
0.008,6.7154455
0.009,6.628012
0.01,6.469344
0.011,6.374124
0.012,6.217772
0.013,6.224049
0.014,6.0314975
0.015,6.069045
0.016,5.8825583
0.017,5.9530153
0.018,5.7709494
0.019,5.8591785
0.02,5.720478
0.021,5.7159667
0.022,5.617114
0.023,5.682601
0.024,5.539403
0.025,5.572587
0.026,5.4740543
0.027,5.512661
0.028,5.3858852
0.029,5.526338
0.03,5.419893
0.031,5.506807
0.032,5.3729796
0.033,5.416932
0.034,5.373157
0.035,5.4305162
0.036,5.354474
0.037,5.469168
0.038,5.3734603
0.039,5.4495206
0.04,5.361172
0.041,5.3847113
0.042,5.289758
0.043,5.33062
0.044,5.2114854
0.045,5.2737536
0.046,5.1887507
0.047,5.3051796
0.048,5.175263
0.049,5.229052
0.05,5.1804667
0.051,5.2453713
0.052,5.199439
0.053,5.2618184
0.054,5.1868315
0.055,5.194015
0.056,5.1107936
0.057,5.176332
0.058,5.1502705
0.059,5.169212
0.06,5.1303096
0.061,5.289851
0.062,5.249069
0.063,5.3078403
0.064,5.314292
0.065,5.36237
0.066,5.2763596
0.067,5.351104
0.068,5.2778482
0.069,5.3289332
0.07,5.2921405
0.071,5.28061
0.072,5.2174134
0.073,5.274192
0.074,5.28297
0.075,5.3999786
0.076,5.3656797
0.077,5.391647
0.078,5.3912168
0.079,5.404487
0.08,5.3651037
0.081,5.393541
0.082,5.4042745
0.083,5.436412
0.084,5.4288335
0.085,5.468642
0.086,5.4800787
0.087,5.508462
0.088,5.478772
0.089,5.514272
0.09,5.533503
0.091,5.54152
0.092,5.4858317
0.093,5.4675927
0.094,5.4383693
0.095,5.4380207
0.096,5.441728
0.097,5.4496093
0.098,5.4735985
0.099,5.4654484
0.1,5.471969
0.101,5.526428
0.102,5.5524974
0.103,5.5395937
0.104,5.520359
0.105,5.5261426
0.106,5.5223784
0.107,5.475154
0.108,5.49692
0.109,5.487476
0.11,5.52889
0.111,5.549365
0.112,5.5739865
0.113,5.5524487
0.114,5.5377717
0.115,5.5175424
0.116,5.5565233
0.117,5.5303783
0.118,5.5187306
0.119,5.5005107
0.12,5.5214295
0.121,5.540399
0.122,5.5690923
0.123,5.5598044
0.124,5.5387797
0.125,5.5243087
0.126,5.546328
0.127,5.48096
0.128,5.468052
0.129,5.4703274
0.13,5.4316154
0.131,5.4388084
0.132,5.454001
0.133,5.443113
0.134,5.4444375
0.135,5.371789
0.136,5.383271
0.137,5.3315086
0.138,5.3105373
