Frequency,PSD
-499.99500004999953,0.69213396
-499.98500014999854,1.8887105
-499.97500024999755,12.104754
-499.96500034999656,9.107777
-499.9550004499955,4.636678
-499.9450005499945,11.809614
-499.9350006499935,3.5289457
-499.92500074999253,5.249511
-499.91500084999154,4.0831623
-499.90500094999055,3.4031503
-499.89500104998956,4.6583576
-499.8850011499885,5.287708
-499.8750012499875,7.124869
-499.8650013499865,10.474913
-499.85500144998554,5.59994
-499.84500154998454,6.4359226
-499.83500164998355,3.018226
-499.8250017499825,4.256685
-499.8150018499815,15.155956
-499.8050019499805,4.8740177
-499.79500204997953,5.6495805
-499.78500214997854,4.602836
-499.77500224997755,3.7486558
-499.76500234997656,5.7467747
-499.7550024499755,5.5099096
-499.7450025499745,3.3717666
-499.7350026499735,5.566569
-499.72500274997253,6.0287175
-499.71500284997154,9.982502
-499.70500294997055,9.411457
-499.69500304996956,6.3752117
-499.6850031499685,3.3634436
-499.6750032499675,6.4736037
-499.6650033499665,3.9000487
-499.65500344996553,4.310322
-499.64500354996454,7.810941
-499.63500364996355,7.8124022
-499.62500374996256,1.8250885
-499.6150038499615,8.47035
-499.6050039499605,3.739971
-499.5950040499595,4.3212385
-499.58500414995854,9.750654
-499.57500424995754,9.252586
-499.56500434995655,8.273708
-499.55500444995556,7.727251
-499.5450045499545,9.382584
-499.5350046499535,4.9978538
-499.52500474995253,9.123597
-499.51500484995154,9.23809
-499.50500494995055,9.222913
-499.49500504994955,4.8704624
-499.4850051499485,5.8555045
-499.4750052499475,4.4469314
-499.4650053499465,6.19009
-499.45500544994553,7.8176465
-499.44500554994454,3.6358287
-499.43500564994355,6.990086
-499.42500574994256,5.9427347
-499.4150058499415,5.6112504
-499.4050059499405,4.8289027
-499.3950060499395,6.5181174
-499.38500614993853,9.268215
-499.37500624993754,7.5878725
-499.36500634993655,3.4022958
-499.35500644993556,4.079489
-499.3450065499345,4.606903
-499.3350066499335,9.143361
-499.3250067499325,2.2447474
-499.31500684993154,6.3683066
-499.30500694993054,4.773674
-499.29500704992955,4.4362984
-499.28500714992856,3.7777996
-499.2750072499275,3.3995917
-499.2650073499265,6.499252
-499.25500744992553,6.388469
-499.24500754992454,7.70031
-499.23500764992355,6.40736
-499.22500774992255,6.9050703
-499.2150078499215,5.305985
-499.2050079499205,9.123273
-499.1950080499195,6.668017
-499.18500814991853,4.734532
-499.17500824991754,3.2092328
-499.16500834991655,9.807413
-499.15500844991556,4.236444
-499.1450085499145,9.454597
-499.1350086499135,5.3864775
-499.1250087499125,8.348212
-499.11500884991153,10.119823
-499.10500894991054,3.978565
-499.09500904990955,6.459771
-499.08500914990856,6.9983063
-499.0750092499075,2.3221674
-499.0650093499065,2.3250995
-499.0550094499055,9.285132
-499.04500954990453,5.507025
-499.03500964990354,2.551238
-499.02500974990255,12.609028
-499.01500984990156,8.10001
-499.0050099499005,1.8548
-498.9950100498995,9.731713
-498.9850101498985,6.8631706
-498.97501024989754,12.820194
-498.96501034989654,10.643335
-498.95501044989555,12.0041065
-498.94501054989456,1.7297363
-498.9350106498935,6.8415914
-498.9250107498925,9.393656
-498.91501084989153,6.1902757
-498.90501094989054,2.7109554
-498.89501104988955,7.472839
-498.88501114988856,2.4637582
-498.8750112498875,1.877926
-498.8650113498865,6.8598714
-498.8550114498855,3.019746
-498.84501154988453,14.869498
-498.83501164988354,8.635564
-498.82501174988255,3.9300828
-498.81501184988156,8.407093
-498.8050119498805,5.646592
-498.7950120498795,3.4672158
-498.7850121498785,3.95097
-498.77501224987753,8.474842
-498.76501234987654,9.403714
-498.75501244987555,4.9873705
-498.74501254987456,6.0619407
-498.7350126498735,4.5681562
-498.7250127498725,3.156714
-498.7150128498715,7.248713
-498.70501294987054,6.481789
-498.69501304986954,12.067085
-498.68501314986855,6.8613005
-498.67501324986756,8.684548
-498.6650133498665,2.8224072
-498.6550134498655,8.623523
-498.64501354986453,6.388582
-498.63501364986354,5.418492
-498.62501374986255,8.140826
-498.61501384986155,7.809645
-498.6050139498605,1.7899543
-498.5950140498595,6.69027
-498.5850141498585,14.138165
-498.57501424985753,8.39661
-498.56501434985654,0.95558524
-498.55501444985555,3.033851
-498.54501454985456,9.442347
-498.5350146498535,6.0291486
-498.5250147498525,11.110786
-498.5150148498515,6.655567
-498.50501494985053,11.552842
-498.49501504984954,5.760834
-498.48501514984855,4.4750557
-498.47501524984756,7.7308993
-498.4650153498465,5.624891
-498.4550154498455,4.3603573
