Frequency,PSD
-499.99500004999953,6.192975
-499.98500014999854,8.157615
-499.97500024999755,4.5370045
-499.96500034999656,4.9081383
-499.9550004499955,9.484749
-499.9450005499945,3.3587987
-499.9350006499935,10.172385
-499.92500074999253,3.595709
-499.91500084999154,2.7565594
-499.90500094999055,9.427979
-499.89500104998956,6.9760466
-499.8850011499885,1.9145432
-499.8750012499875,5.2052693
-499.8650013499865,2.5864155
-499.85500144998554,9.295617
-499.84500154998454,8.513291
-499.83500164998355,0.3359308
-499.8250017499825,9.555937
-499.8150018499815,4.342735
-499.8050019499805,12.3817835
-499.79500204997953,6.754636
-499.78500214997854,8.039911
-499.77500224997755,4.7192326
-499.76500234997656,5.5551476
-499.7550024499755,4.4053035
-499.7450025499745,3.43154
-499.7350026499735,3.8251195
-499.72500274997253,4.9986453
-499.71500284997154,2.111759
-499.70500294997055,7.0274878
-499.69500304996956,8.754774
-499.6850031499685,8.404174
-499.6750032499675,12.098706
-499.6650033499665,4.8860784
-499.65500344996553,3.8477736
-499.64500354996454,2.8923206
-499.63500364996355,1.8999498
-499.62500374996256,7.040872
-499.6150038499615,6.8789263
-499.6050039499605,5.9918485
-499.5950040499595,3.9926648
-499.58500414995854,3.372061
-499.57500424995754,2.9393728
-499.56500434995655,1.1783469
-499.55500444995556,9.513771
-499.5450045499545,6.9610877
-499.5350046499535,6.4036255
-499.52500474995253,6.4296308
-499.51500484995154,4.100804
-499.50500494995055,4.4895163
-499.49500504994955,6.006683
-499.4850051499485,3.443522
-499.4750052499475,2.5532017
-499.4650053499465,11.441081
-499.45500544994553,5.5703506
-499.44500554994454,5.105937
-499.43500564994355,6.098993
-499.42500574994256,4.5559855
-499.4150058499415,8.826545
-499.4050059499405,9.364544
-499.3950060499395,10.841779
-499.38500614993853,10.773344
-499.37500624993754,6.7146482
-499.36500634993655,6.8814235
-499.35500644993556,6.438398
-499.3450065499345,8.434673
-499.3350066499335,4.2357
-499.3250067499325,5.9604483
-499.31500684993154,2.9466627
-499.30500694993054,1.7351577
-499.29500704992955,10.383629
-499.28500714992856,5.601791
-499.2750072499275,7.4779305
-499.2650073499265,7.941288
-499.25500744992553,3.5267522
-499.24500754992454,5.7902675
-499.23500764992355,6.064574
-499.22500774992255,7.836539
-499.2150078499215,5.4556823
-499.2050079499205,3.2469752
-499.1950080499195,3.8738656
-499.18500814991853,6.299012
-499.17500824991754,14.102129
-499.16500834991655,6.5245633
-499.15500844991556,3.012558
-499.1450085499145,8.115545
-499.1350086499135,5.7289796
-499.1250087499125,2.7525737
-499.11500884991153,7.2522
-499.10500894991054,8.052892
-499.09500904990955,7.6637745
-499.08500914990856,3.2076387
-499.0750092499075,6.371961
-499.0650093499065,9.379951
-499.0550094499055,4.4728346
-499.04500954990453,8.771564
-499.03500964990354,10.367762
-499.02500974990255,4.420348
-499.01500984990156,4.1546397
-499.0050099499005,2.5086155
-498.9950100498995,6.090277
-498.9850101498985,7.4674816
-498.97501024989754,1.6831601
-498.96501034989654,6.3828607
-498.95501044989555,4.144034
-498.94501054989456,6.9312744
-498.9350106498935,10.417353
-498.9250107498925,5.316534
-498.91501084989153,7.7898965
-498.90501094989054,5.718731
-498.89501104988955,9.722696
-498.88501114988856,1.8537523
-498.8750112498875,6.2823496
-498.8650113498865,4.441548
-498.8550114498855,8.408483
-498.84501154988453,2.9709482
-498.83501164988354,6.13836
-498.82501174988255,10.393769
-498.81501184988156,6.592859
-498.8050119498805,3.4715543
-498.7950120498795,4.3236775
-498.7850121498785,7.7652693
-498.77501224987753,6.999266
-498.76501234987654,3.7644606
-498.75501244987555,5.272773
-498.74501254987456,7.028006
-498.7350126498735,9.152026
-498.7250127498725,4.828751
-498.7150128498715,5.728627
-498.70501294987054,1.2019514
-498.69501304986954,2.2675385
-498.68501314986855,6.048558
-498.67501324986756,6.448841
-498.6650133498665,5.949233
-498.6550134498655,6.6207366
-498.64501354986453,7.3222737
-498.63501364986354,6.6374335
-498.62501374986255,8.507005
-498.61501384986155,3.1427317
-498.6050139498605,3.0663807
-498.5950140498595,2.3607314
-498.5850141498585,14.58302
-498.57501424985753,5.6881437
-498.56501434985654,5.091943
-498.55501444985555,2.6825552
-498.54501454985456,4.4232244
-498.5350146498535,4.874814
-498.5250147498525,4.152117
-498.5150148498515,4.869896
-498.50501494985053,10.029448
-498.49501504984954,4.7419677
-498.48501514984855,6.3840404
-498.47501524984756,13.582659
-498.4650153498465,7.249849
-498.4550154498455,7.631576
-498.4450155498445,10.683661
-498.43501564984354,2.6281555
-498.42501574984254,7.3832874
-498.41501584984155,5.0551295
-498.40501594984056,4.545786
-498.3950160498395,9.533296
-498.3850161498385,8.78519
-498.37501624983753,3.9636672
-498.36501634983654,12.775151
-498.35501644983555,5.217544
-498.34501654983455,5.860071
-498.3350166498335,6.621348
-498.3250167498325,4.6494193
-498.3150168498315,10.753479
-498.30501694983053,7.970724
-498.29501704982954,8.029785
-498.28501714982855,7.497678
-498.27501724982756,6.2268796
-498.2650173498265,4.779405
-498.2550174498255,6.360283
-498.2450175498245,11.160316
-498.23501764982353,8.148203
-498.22501774982254,7.2867866
-498.21501784982155,3.321036
-498.20501794982056,4.493758
-498.1950180498195,3.7086747
-498.1850181498185,4.6940904
-498.1750182498175,5.5830016
-498.16501834981653,6.695188
