Frequency,PSD
0.0,0.03977272
0.08,0.049967077
0.16,0.05673555
0.24,0.049795434
0.32,0.054370143
0.4,0.04262516
0.48,0.052655153
0.56,0.058845866
0.64,0.07082511
0.72,0.050202742
0.8,0.04467558
0.88,0.063127525
0.96,0.049537957
1.04,0.034255795
1.12,0.06016755
1.2,0.044971526
1.28,0.035479583
1.36,0.05981792
1.44,0.05610658
1.52,0.03358503
1.6,0.074765764
1.68,0.082063235
1.76,0.08206811
1.84,0.09887764
1.92,0.055261936
2.0,0.07989717
2.08,0.11174322
2.16,0.06290614
2.24,0.04720244
2.32,0.05737493
2.4,0.10239246
2.48,0.06442847
2.56,0.0624552
2.64,0.027291154
2.72,0.034240115
2.8000000000000003,0.07647282
2.88,0.040453847
2.96,0.05124889
3.04,0.07974002
3.12,0.064491
3.2,0.07061728
3.2800000000000002,0.028437141
3.36,0.036639508
3.44,0.031366028
3.52,0.028989386
3.6,0.08819124
3.68,0.0847442
3.7600000000000002,0.032493774
3.84,0.031178338
3.92,0.04399387
4.0,0.031591315
4.08,0.023412442
4.16,0.041255064
4.24,0.027259715
4.32,0.03487453
4.4,0.053126894
4.48,0.04979177
4.5600000000000005,0.046048403
4.64,0.050822973
4.72,0.079882555
4.8,0.06760679
4.88,0.038225956
4.96,0.04722261
5.04,0.07029341
5.12,0.044356048
5.2,0.03958403
5.28,0.0671121
5.36,0.07101921
5.44,0.035131052
5.5200000000000005,0.041405506
5.6000000000000005,0.028060917
5.68,0.034314163
5.76,0.03982549
5.84,0.03245409
5.92,0.07241477
6.0,0.044028513
6.08,0.07003968
6.16,0.04362306
6.24,0.05433393
6.32,0.0449983
6.4,0.050080862
6.48,0.038179196
6.5600000000000005,0.026956702
6.640000000000001,0.03446152
6.72,0.031291176
6.8,0.038492784
6.88,0.040683936
6.96,0.0372722
7.04,0.037477497
7.12,0.0393235
7.2,0.03730897
7.28,0.031898588
7.36,0.045078777
7.44,0.024700029
7.5200000000000005,0.038170084
7.6000000000000005,0.027953768
7.68,0.022310795
7.76,0.047146138
7.84,0.022052446
7.92,0.03779064
8.0,0.026910106
8.08,0.04133673
8.16,0.04446858
8.24,0.03449411
8.32,0.041289985
8.4,0.042360205
8.48,0.031035617
8.56,0.034475885
8.64,0.034033652
8.72,0.037979465
8.8,0.013476829
8.88,0.044964045
8.96,0.027162904
9.040000000000001,0.03378183
9.120000000000001,0.052422114
9.200000000000001,0.037118558
9.28,0.028115874
9.36,0.047873404
9.44,0.042087477
9.52,0.034837723
9.6,0.027544266
9.68,0.03622081
9.76,0.033726677
9.84,0.028577903
9.92,0.012005979
10.0,0.020331059
10.08,0.022710113
10.16,0.019682022
10.24,0.026631957
10.32,0.029241968
10.4,0.02069455
10.48,0.029092379
10.56,0.032518994
10.64,0.028326675
10.72,0.028755175
10.8,0.057076387
10.88,0.03439917
10.96,0.016785955
11.040000000000001,0.017605944
11.120000000000001,0.039444875
11.200000000000001,0.035169076
11.28,0.038422205
11.36,0.028467566
11.44,0.028640915
11.52,0.022138089
11.6,0.024129724
